arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
dual-prediction/0.25sigma/hb150,dual-prediction,0.25,150000,18.27,0.09137,77.2,29871,1254,167,100,65.16,0.2315,0.25,101,16,0,49,0,3,1109
dual-prediction/0.5sigma/hb150,dual-prediction,0.5,150000,10.23,0.05115,87.2,13289,3355,169,100,52.73,0.4481,0.5,116,16,0,64,0,3,1981
dual-prediction/0.75sigma/hb150,dual-prediction,0.75,150000,8.22,0.04112,89.7,8260,4769,173,100,46.7,0.6483,0.75,133,16,0,79,0,3,2464
dual-prediction/1sigma/hb150,dual-prediction,1,150000,7.63,0.03817,90.5,6741,5227,172,100,45.31,0.8549,1,153,16,0,101,0,3,2654
dual-prediction/1.5sigma/hb150,dual-prediction,1.5,150000,6.68,0.03339,91.7,3226,7016,178,100,39.69,1.2158,1.5,200,16,0,146,0,3,3034
dual-prediction/2sigma/hb150,dual-prediction,2,150000,6.47,0.03237,91.9,2625,7253,175,100,38.5,1.4856,2,211,16,0,161,0,3,3129
dual-prediction/3sigma/hb150,dual-prediction,3,150000,6.15,0.03074,92.3,1427,7860,181,100,36.46,1.9607,3,215,16,0,167,0,4,3295
dual-prediction/4sigma/hb150,dual-prediction,4,150000,6,0.02998,92.5,410,8600,181,100,35.53,2.0657,3.9945,208,16,0,167,1,4,3379
dual-prediction/0.25sigma/hb300,dual-prediction,0.25,300000,17.72,0.08861,77.8,29907,224,167,100,62.11,0.2316,0.25,100,16,0,48,0,3,1143
dual-prediction/0.5sigma/hb300,dual-prediction,0.5,300000,9.07,0.04537,88.7,13723,842,168,100,45.35,0.4505,0.5,102,16,0,51,0,3,2233
dual-prediction/0.75sigma/hb300,dual-prediction,0.75,300000,6.63,0.03315,91.7,8837,1330,168,100,36.4,0.67,0.75,118,16,0,67,0,3,3056
dual-prediction/1sigma/hb300,dual-prediction,1,300000,6.03,0.03017,92.5,7408,1677,175,100,34.33,0.8889,1,137,16,0,86,0,3,3358
dual-prediction/1.5sigma/hb300,dual-prediction,1.5,300000,4.6,0.02301,94.2,4315,2189,179,100,25.18,1.3048,1.5,219,16,0,169,0,2,4403
dual-prediction/2sigma/hb300,dual-prediction,2,300000,4.2,0.02102,94.7,3247,2530,191,100,22.62,1.6481,2,275,16,0,225,0,3,4819
dual-prediction/3sigma/hb300,dual-prediction,3,300000,3.99,0.01994,95,2430,2941,206,100,21.36,2.3517,3,272,16,0,229,1,3,5081
dual-prediction/4sigma/hb300,dual-prediction,4,300000,3.89,0.01946,95.1,2114,3080,210,100,20.81,3.0538,4,258,16,0,220,1,3,5207
dual-prediction/0.25sigma/hb600,dual-prediction,0.25,600000,17.55,0.08777,78.1,29793,37,167,100,61.14,0.2316,0.25,100,16,0,48,0,3,1154
dual-prediction/0.5sigma/hb600,dual-prediction,0.5,600000,8.71,0.04353,89.1,13712,192,168,100,42.86,0.4516,0.5,96,16,0,44,0,3,2327
dual-prediction/0.75sigma/hb600,dual-prediction,0.75,600000,6.11,0.03055,92.4,8901,325,171,100,32.86,0.6747,0.75,114,16,0,63,0,3,3316
dual-prediction/1sigma/hb600,dual-prediction,1,600000,5.42,0.0271,93.2,7546,438,171,100,30.08,0.8985,1,143,16,0,92,0,3,3738
dual-prediction/1.5sigma/hb600,dual-prediction,1.5,600000,3.88,0.01941,95.1,4572,644,172,100,20.16,1.3389,1.5,228,16,0,177,0,2,5219
dual-prediction/2sigma/hb600,dual-prediction,2,600000,3.4,0.017,95.8,3506,824,190,100,17,1.7476,2,259,16,0,208,0,3,5959
dual-prediction/3sigma/hb600,dual-prediction,3,600000,3,0.015,96.3,2502,1079,219,100,14.45,2.5815,3,227,16,0,184,1,3,6753
dual-prediction/4sigma/hb600,dual-prediction,4,600000,2.83,0.01416,96.5,2068,1194,237,100,13.4,3.3736,4,206,16,0,169,1,3,7152
