arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.36,0.07678,80.8,9067,17773,0,19.3,15.36,,,106,16,0,52,0,3,1319
deadband/hb150,deadband,,150000,8.35,0.04174,89.6,8249,5978,0,10.5,8.35,,,104,16,0,47,0,3,2427
deadband/hb300,deadband,,300000,6.82,0.03411,91.5,9033,2448,0,8.6,6.82,,,99,16,0,43,0,3,2969
deadband/hb600,deadband,,600000,6.11,0.03056,92.4,9029,1173,0,7.8,6.11,,,99,16,0,43,0,3,3315
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.28,0.11139,72.2,29020,9314,167,100,78.97,0.2304,0.25,130,16,0,78,0,3,909
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,16.02,0.08012,80,11839,15233,170,100,78.89,0.4325,0.5,163,16,0,109,0,3,1264
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.64,0.07319,81.7,6166,18412,170,100,78.81,0.5882,0.75,163,16,0,110,0,3,1384
dual-prediction/1sigma/hb60,dual-prediction,1,60000,14.17,0.07083,82.3,2712,21018,170,100,78.43,0.6774,1,162,16,0,110,0,3,1430
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,14.02,0.07012,82.5,550,22922,170,100,78.29,0.711,1.4953,165,16,0,111,0,3,1445
dual-prediction/2sigma/hb60,dual-prediction,2,60000,13.98,0.06992,82.5,364,23037,170,100,78.24,0.7169,1.9943,165,16,0,112,0,3,1449
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.95,0.06975,82.6,251,23088,170,100,78.23,0.7208,2.975,163,16,0,112,0,4,1452
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.93,0.06965,82.6,196,23107,170,100,78.24,0.723,3.9945,157,16,0,112,1,3,1454
