elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,0
12,0,0,0,1,1,0
22,0,0,0,1,1,0
32,0,0,0,1,1,0
42,0,0,0,1,1,0
52,0,0,0,1,1,0
62,0,0,0,1,1,0
72,0,0,0,1,1,0
82,0,0,0,1,1,0
92,0,0,0,1,1,0
102,0,0,0,1,1,0
112,0,36,0,1,1,0
122,0,0,0,1,1,0
132,0,82,0,1,1,0
142,0,82,0,1,1,0
152,165,36,0,1,1,0
162,0,0,0,1,1,0
172,0,129,0,1,1,0
182,0,0,0,1,1,0
192,165,0,0,1,1,0
202,0,65,0,1,1,0
212,0,0,0,1,1,0
222,0,0,0,1,1,0
232,0,0,0,1,1,0
242,369,1291,0,1,1,0
252,329,0,0,1,1,0
262,0,265,0,1,1,0
272,0,1045,0,1,1,0
282,0,0,0,1,1,0
292,0,666,0,1,1,0
302,0,0,0,1,1,0
312,349,0,0,1,1,0
322,0,0,0,1,1,0
332,0,965,0,1,1,0
342,0,0,0,1,1,0
352,135,0,0,1,1,0
362,0,965,0,1,1,0
372,0,0,0,1,1,0
382,0,0,0,1,1,0
392,0,0,0,1,1,0
402,0,0,0,1,1,0
412,0,0,0,1,1,0
422,0,0,0,1,1,0
432,0,0,0,1,1,0
442,0,0,0,1,1,0
452,0,0,0,1,1,0
462,0,0,0,1,1,0
472,0,0,0,1,1,0
482,0,0,0,1,1,0
492,0,0,0,1,1,0
502,0,0,0,1,1,0
