arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.29,0.07642,80.9,8783,17930,0,19.2,15.29,,,116,16,0,60,0,3,1325
deadband/hb150,deadband,,150000,8.25,0.04124,89.7,8055,5992,0,10.4,8.25,,,93,16,0,35,0,3,2456
deadband/hb300,deadband,,300000,6.68,0.03339,91.7,8765,2457,0,8.5,6.68,,,88,16,0,31,0,3,3033
deadband/hb600,deadband,,600000,5.96,0.02979,92.6,8755,1168,0,7.6,5.96,,,89,16,0,32,0,3,3401
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.42,0.1121,72,29143,9439,174,100,79,0.2303,0.25,126,16,0,72,0,3,904
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,16.02,0.08013,80,11782,15288,175,100,78.9,0.4313,0.5,146,16,0,91,0,3,1264
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.64,0.07319,81.7,6082,18492,176,100,78.79,0.5856,0.75,161,16,0,104,0,3,1384
dual-prediction/1sigma/hb60,dual-prediction,1,60000,14.17,0.07087,82.3,2697,21040,176,100,78.41,0.6774,1,157,16,0,101,0,3,1429
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,14.03,0.07015,82.5,547,22931,176,100,78.3,0.7089,1.4999,157,16,0,99,0,3,1444
dual-prediction/2sigma/hb60,dual-prediction,2,60000,14,0.06998,82.5,374,23039,178,100,78.25,0.7132,2,158,16,0,100,0,3,1448
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.96,0.06978,82.6,264,23080,178,100,78.23,0.7161,2.9643,155,16,0,100,0,4,1452
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.94,0.06969,82.6,205,23105,178,100,78.24,0.7181,3.9921,149,16,0,100,1,3,1454
dual-prediction/0.25sigma/hb150,dual-prediction,0.25,150000,18.38,0.09188,77,29997,1308,173,100,65.02,0.2313,0.25,112,16,0,56,0,3,1102
dual-prediction/0.5sigma/hb150,dual-prediction,0.5,150000,10.25,0.05124,87.2,13343,3330,174,100,52.62,0.4475,0.5,114,16,0,61,0,3,1977
dual-prediction/0.75sigma/hb150,dual-prediction,0.75,150000,8.2,0.041,89.8,8096,4884,180,100,46.41,0.647,0.75,128,16,0,72,0,3,2471
dual-prediction/1sigma/hb150,dual-prediction,1,150000,7.61,0.03806,90.5,6657,5266,178,100,45.16,0.8546,1,157,16,0,100,0,3,2662
dual-prediction/1.5sigma/hb150,dual-prediction,1.5,150000,6.69,0.03346,91.6,3277,6981,188,100,39.74,1.2216,1.5,199,16,0,140,0,3,3027
dual-prediction/2sigma/hb150,dual-prediction,2,150000,6.49,0.03243,91.9,2636,7242,197,100,38.54,1.4851,2,209,16,0,151,0,3,3124
dual-prediction/3sigma/hb150,dual-prediction,3,150000,6.16,0.0308,92.3,1417,7874,197,100,36.51,1.9609,3,204,16,0,152,0,4,3289
dual-prediction/4sigma/hb150,dual-prediction,4,150000,6.01,0.03003,92.5,437,8576,198,100,35.57,2.0683,3.9994,198,16,0,152,1,4,3373
dual-prediction/0.25sigma/hb300,dual-prediction,0.25,300000,17.79,0.08893,77.8,29988,255,172,100,61.62,0.2312,0.25,109,16,0,53,0,3,1139
dual-prediction/0.5sigma/hb300,dual-prediction,0.5,300000,9.13,0.04566,88.6,13801,866,172,100,45.39,0.4502,0.5,98,16,0,45,0,3,2218
dual-prediction/0.75sigma/hb300,dual-prediction,0.75,300000,6.63,0.03314,91.7,8792,1359,180,100,36.23,0.6682,0.75,115,16,0,60,0,3,3057
dual-prediction/1sigma/hb300,dual-prediction,1,300000,5.98,0.02992,92.5,7256,1741,175,100,33.95,0.8854,1,152,16,0,96,0,3,3385
dual-prediction/1.5sigma/hb300,dual-prediction,1.5,300000,4.61,0.02304,94.2,4322,2188,186,100,25.21,1.3086,1.5,217,16,0,163,0,3,4396
dual-prediction/2sigma/hb300,dual-prediction,2,300000,4.2,0.02098,94.8,3199,2557,198,100,22.53,1.6453,2,259,16,0,204,0,3,4828
dual-prediction/3sigma/hb300,dual-prediction,3,300000,3.98,0.01991,95,2401,2947,221,100,21.29,2.325,3,258,16,0,211,1,3,5087
dual-prediction/4sigma/hb300,dual-prediction,4,300000,3.89,0.01947,95.1,2085,3096,227,100,20.79,3.0145,4,259,16,0,217,1,4,5204
dual-prediction/0.25sigma/hb600,dual-prediction,0.25,600000,17.62,0.08811,78,29913,34,172,100,60.67,0.2313,0.25,108,16,0,52,0,3,1150
dual-prediction/0.5sigma/hb600,dual-prediction,0.5,600000,8.73,0.04364,89.1,13745,190,175,100,42.7,0.4511,0.5,96,16,0,42,0,3,2321
dual-prediction/0.75sigma/hb600,dual-prediction,0.75,600000,6.08,0.03038,92.4,8807,348,181,100,32.48,0.6723,0.75,103,16,0,49,0,3,3335
dual-prediction/1sigma/hb600,dual-prediction,1,600000,5.35,0.02676,93.3,7374,479,180,100,29.56,0.895,1,145,16,0,89,0,3,3786
dual-prediction/1.5sigma/hb600,dual-prediction,1.5,600000,3.91,0.01957,95.1,4633,628,184,100,20.35,1.3432,1.5,231,16,0,175,0,3,5176
dual-prediction/2sigma/hb600,dual-prediction,2,600000,3.37,0.01687,95.8,3455,820,198,100,16.78,1.7504,2,265,16,0,211,0,3,6005
dual-prediction/3sigma/hb600,dual-prediction,3,600000,3.01,0.01503,96.2,2510,1070,232,100,14.46,2.5793,3,247,16,0,199,1,3,6738
dual-prediction/4sigma/hb600,dual-prediction,4,600000,2.81,0.01407,96.5,1988,1216,261,100,13.22,3.3345,4,220,16,0,176,1,4,7200
