elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,135,0,1,1,0
11,0,0,0,1,1,0
21,0,0,0,1,1,0
31,0,0,0,1,1,0
41,3,0,0,1,1,0
51,0,0,0,5,1,0
61,0,0,0,6,1,0
71,0,0,0,6,1,0
81,0,0,0,6,1,0
91,0,0,0,6,1,0
101,0,0,0,6,1,0
111,0,0,0,6,1,0
