elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,72096
14,156,0,0,1,1,72662
28,0,0,0,1,1,72900
41,0,0,0,1,1,73279
55,0,0,0,1,1,73665
69,0,0,0,1,1,74113
83,0,0,0,1,1,74396
97,0,0,0,1,1,74748
111,146,0,0,1,1,75385
125,291,0,0,1,1,75876
139,0,0,0,1,1,76138
154,43,0,0,1,1,76518
168,0,0,0,1,1,76976
183,0,0,0,1,1,77495
197,0,0,0,1,1,77689
212,0,0,0,1,1,78138
228,0,0,0,1,1,78525
242,0,0,0,1,1,79093
256,0,0,0,1,1,79322
270,0,0,0,1,1,79825
284,0,0,0,1,1,80163
298,0,81,0,1,1,80520
