elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,169,81,0,1,1,81276
14,0,0,0,1,1,81573
28,0,0,0,1,1,82080
42,0,159,0,1,1,82267
57,138,0,0,1,1,82755
71,0,0,0,1,1,83143
85,0,0,0,1,1,83425
100,0,0,0,1,1,83832
114,0,0,0,1,1,84247
129,0,226,0,1,1,84805
143,0,0,0,1,1,85042
158,0,0,0,1,1,85696
172,0,0,0,1,1,86114
187,106,0,0,1,1,86663
201,0,0,0,1,1,87180
215,0,32,0,1,1,87544
230,292,0,0,1,1,88142
244,0,0,0,1,1,88566
259,0,0,0,1,1,89176
273,0,0,0,1,1,89514
288,0,3,0,1,1,90105
