elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,65547
13,0,148,0,1,1,65823
26,77,0,0,1,1,66100
40,0,0,0,1,1,66300
53,0,0,0,1,1,66484
67,42,0,0,1,1,66942
82,0,0,0,1,1,67006
95,0,0,0,1,1,67280
108,0,0,0,1,1,67588
122,127,0,0,1,1,67968
136,0,0,0,1,1,68115
149,0,0,0,1,1,68351
164,0,0,0,1,1,68538
177,0,0,0,1,1,69173
191,0,0,0,1,1,69407
207,36,0,0,1,1,69752
221,0,0,0,1,1,70069
234,0,0,0,1,1,70412
250,0,0,0,1,1,70693
264,0,0,0,1,1,71038
278,134,0,0,1,1,71396
291,0,42,0,1,1,71533
