elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,219,0,1,1,90556
14,0,0,0,1,1,91254
29,0,0,0,1,1,91647
44,0,0,0,1,1,92309
59,0,0,0,1,1,92752
73,137,0,0,1,1,93324
88,22,0,0,1,1,93699
103,285,0,0,1,1,94301
118,0,0,0,1,1,94782
133,0,0,0,1,1,95336
148,202,84,0,1,1,95746
162,0,0,0,1,1,96222
177,0,0,0,1,1,96801
192,0,0,0,1,1,97370
207,0,0,0,1,1,97874
222,239,0,0,1,1,98390
237,278,0,0,1,1,98889
253,239,0,0,1,1,99576
268,0,0,0,1,1,99976
283,0,0,0,1,1,100481
298,0,0,0,1,1,100889
