elapsed_seconds,aggregation_depth,detection_depth,alerting_depth,detection_tasks,aggregation_tasks,timeseries_rows
0,0,0,0,1,1,60567
13,0,0,0,1,1,60677
27,0,0,0,1,1,60852
40,0,0,0,1,1,61024
53,16,0,0,1,1,61117
67,0,0,0,1,1,61502
80,0,0,0,1,1,61557
93,16,0,0,1,1,61686
106,0,0,0,1,1,62072
119,0,0,0,1,1,62449
134,0,0,0,1,1,62535
147,0,0,0,1,1,62881
160,0,0,0,1,1,63048
174,0,0,0,1,1,63137
187,0,0,0,1,1,63544
200,0,0,0,1,1,63610
214,0,0,0,1,1,63912
227,0,0,0,1,1,64087
240,178,0,0,1,1,64444
254,76,0,0,1,1,64556
267,0,0,0,1,1,64627
280,0,0,0,1,1,64889
293,77,0,0,1,1,65138
