arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
dual-prediction/2sigma/hb300,dual-prediction,2,300000,4.23,0.02114,94.7,3194,2561,257,100,22.56,1.6479,2,256,16,0,201,0,3,4767
dual-prediction/3sigma/hb300,dual-prediction,3,300000,4.01,0.02006,95,2423,2927,270,100,21.35,2.3496,3,269,16,0,222,0,3,5026
dual-prediction/4sigma/hb300,dual-prediction,4,300000,3.91,0.01956,95.1,2069,3095,278,100,20.75,3.0276,4,262,16,0,221,1,3,5153
dual-prediction/0.25sigma/hb600,dual-prediction,0.25,600000,17.49,0.08745,78.1,29608,38,235,100,60.68,0.2313,0.25,110,16,0,53,0,3,1153
dual-prediction/0.5sigma/hb600,dual-prediction,0.5,600000,8.71,0.04354,89.1,13653,183,237,100,42.64,0.4516,0.5,94,16,0,39,0,3,2315
dual-prediction/0.75sigma/hb600,dual-prediction,0.75,600000,6.03,0.03016,92.5,8688,328,242,100,32.14,0.671,0.75,113,16,0,57,0,3,3342
dual-prediction/1sigma/hb600,dual-prediction,1,600000,5.43,0.02714,93.2,7451,475,246,100,29.91,0.8995,1,136,16,0,84,0,3,3713
dual-prediction/1.5sigma/hb600,dual-prediction,1.5,600000,3.91,0.01956,95.1,4533,657,251,100,20.15,1.3397,1.5,223,16,0,168,0,3,5154
dual-prediction/2sigma/hb600,dual-prediction,2,600000,3.38,0.01691,95.8,3362,869,256,100,16.66,1.7341,2,262,16,0,208,0,3,5962
dual-prediction/3sigma/hb600,dual-prediction,3,600000,3.03,0.01514,96.2,2516,1058,276,100,14.47,2.5889,3,244,16,0,197,0,3,6658
dual-prediction/4sigma/hb600,dual-prediction,4,600000,2.84,0.01421,96.4,1995,1226,295,100,13.27,3.353,4,225,16,0,185,1,4,7093
