arm,filter,error_bound_sigma,heartbeat_ms,forwarded_per_second,forwarded_per_machine_second,dropped_pct,content_forwards,heartbeat_forwards,safety_forwards,consumer_coverage_pct,windows_evaluated_per_second,reconstruction_error_p95,reconstruction_error_max,events,faults_matched,faults_missed,events_on_healthy_machines,detection_delay_p50,detection_delay_p95,machines_per_task
deadband/hb60,deadband,,60000,15.29,0.07646,80.9,8840,17887,0,19.2,15.29,,,118,16,0,61,0,3,1318
deadband/hb150,deadband,,150000,8.28,0.04139,89.7,8114,5987,0,10.4,8.28,,,99,16,0,42,0,3,2435
deadband/hb300,deadband,,300000,6.74,0.03368,91.6,8872,2451,0,8.5,6.74,,,98,16,0,42,0,3,2993
deadband/hb600,deadband,,600000,6.03,0.03013,92.5,8875,1173,0,7.7,6.03,,,96,16,0,42,0,3,3345
dual-prediction/0.25sigma/hb60,dual-prediction,0.25,60000,22.32,0.11158,72.1,28791,9544,235,100,78.99,0.2299,0.25,136,16,0,80,0,3,903
dual-prediction/0.5sigma/hb60,dual-prediction,0.5,60000,16.02,0.08008,80,11673,15319,237,100,78.87,0.429,0.5,141,16,0,84,0,3,1259
dual-prediction/0.75sigma/hb60,dual-prediction,0.75,60000,14.64,0.07318,81.7,5990,18515,240,100,78.76,0.5848,0.75,149,16,0,93,0,3,1377
dual-prediction/1sigma/hb60,dual-prediction,1,60000,14.19,0.07096,82.3,2623,21086,237,100,78.41,0.6715,0.9994,149,16,0,93,0,3,1420
dual-prediction/1.5sigma/hb60,dual-prediction,1.5,60000,14.05,0.07026,82.4,552,22905,238,100,78.3,0.7064,1.5,149,16,0,94,0,3,1435
dual-prediction/2sigma/hb60,dual-prediction,2,60000,14.01,0.07007,82.5,363,23023,238,100,78.24,0.709,2,148,16,0,93,0,3,1439
dual-prediction/3sigma/hb60,dual-prediction,3,60000,13.98,0.06988,82.5,238,23078,239,100,78.23,0.7113,2.9983,145,16,0,93,0,4,1443
dual-prediction/4sigma/hb60,dual-prediction,4,60000,13.96,0.0698,82.5,196,23094,239,100,78.24,0.7134,3.9926,142,16,0,93,1,3,1444
dual-prediction/0.25sigma/hb150,dual-prediction,0.25,150000,18.23,0.09115,77.2,29682,1298,235,100,64.95,0.2316,0.25,114,16,0,57,0,3,1106
dual-prediction/0.5sigma/hb150,dual-prediction,0.5,150000,10.24,0.05119,87.2,13285,3308,236,100,52.49,0.4477,0.5,111,16,0,56,0,3,1969
dual-prediction/0.75sigma/hb150,dual-prediction,0.75,150000,8.18,0.04091,89.8,7988,4898,240,100,46.26,0.6452,0.75,129,16,0,74,0,3,2464
dual-prediction/1sigma/hb150,dual-prediction,1,150000,7.66,0.03827,90.4,6693,5245,241,100,45.26,0.8524,1,142,16,0,86,0,3,2634
dual-prediction/1.5sigma/hb150,dual-prediction,1.5,150000,6.71,0.03353,91.6,3240,6985,247,100,39.69,1.2125,1.5,187,16,0,130,0,3,3006
dual-prediction/2sigma/hb150,dual-prediction,2,150000,6.5,0.03248,91.9,2563,7280,251,100,38.43,1.4688,2,192,16,0,137,0,3,3103
dual-prediction/3sigma/hb150,dual-prediction,3,150000,6.18,0.03091,92.3,1388,7883,255,100,36.51,1.95,3,194,16,0,143,0,3,3262
dual-prediction/4sigma/hb150,dual-prediction,4,150000,6.03,0.03015,92.5,424,8575,254,100,35.57,2.0446,3.9965,191,16,0,144,1,4,3344
dual-prediction/0.25sigma/hb300,dual-prediction,0.25,300000,17.64,0.08822,77.9,29690,235,235,100,61.65,0.2314,0.25,109,16,0,52,0,3,1143
dual-prediction/0.5sigma/hb300,dual-prediction,0.5,300000,9.1,0.04549,88.6,13698,841,237,100,45.23,0.4506,0.5,98,16,0,43,0,3,2216
dual-prediction/0.75sigma/hb300,dual-prediction,0.75,300000,6.58,0.03289,91.8,8603,1395,242,100,35.85,0.6667,0.75,119,16,0,63,0,3,3065
dual-prediction/1sigma/hb300,dual-prediction,1,300000,6.02,0.0301,92.5,7269,1721,245,100,34.04,0.884,1,139,16,0,87,0,3,3349
dual-prediction/1.5sigma/hb300,dual-prediction,1.5,300000,4.63,0.02314,94.2,4255,2227,248,100,25.16,1.3082,1.5,221,16,0,166,0,3,4356
